Sector,Year,Annual_Return,Best_Year_Rank
Auto,2009,139.62,1
Auto,2003,117.73,2
Auto,2002,63.76,3
Auto,2014,54.42,4
Auto,2012,43.08,5
Auto,2006,41.51,6
Auto,2004,27.49,7
Auto,2005,25.76,8
Auto,2010,24.14,9
Auto,2021,23.66,10
Auto,2017,20.23,11
Auto,2013,19.36,12
Auto,2016,15.95,13
Auto,2020,9.07,14
Auto,2015,6.49,15
Auto,2007,4.14,16
Auto,2019,-1.38,17
Auto,2011,-20.37,18
Auto,2001,-21.82,19
Auto,2018,-26.39,20
Auto,2000,-48.49,21
Auto,2008,-72.26,22
"Banking & Finance",2009,104.49,1
"Banking & Finance",2003,83.64,2
"Banking & Finance",2007,74.48,3
"Banking & Finance",2012,56.67,4
"Banking & Finance",2005,46.7,5
"Banking & Finance",2002,46.36,6
"Banking & Finance",2017,42.2,7
"Banking & Finance",2000,38.05,8
"Banking & Finance",2006,37.19,9
"Banking & Finance",2004,33.07,10
"Banking & Finance",2014,31.84,11
"Banking & Finance",2021,28.66,12
"Banking & Finance",2010,25.55,13
"Banking & Finance",2019,23.4,14
"Banking & Finance",2018,18.39,15
"Banking & Finance",2020,12.28,16
"Banking & Finance",2015,7.56,17
"Banking & Finance",2016,6.02,18
"Banking & Finance",2013,2.08,19
"Banking & Finance",2001,-2.76,20
"Banking & Finance",2011,-28.3,21
"Banking & Finance",2008,-92.89,22
"FMCG & Consumer",2005,51.7,1
"FMCG & Consumer",2017,46.49,2
"FMCG & Consumer",2009,43.3,3
"FMCG & Consumer",2014,41.88,4
"FMCG & Consumer",2012,35.53,5
"FMCG & Consumer",2007,35.25,6
"FMCG & Consumer",2003,32.98,7
"FMCG & Consumer",2020,26.51,8
"FMCG & Consumer",2010,22.14,9
"FMCG & Consumer",2002,16.56,10
"FMCG & Consumer",2004,16.47,11
"FMCG & Consumer",2018,15.1,12
"FMCG & Consumer",2006,14.49,13
"FMCG & Consumer",2019,13.82,14
"FMCG & Consumer",2015,11.75,15
"FMCG & Consumer",2013,2.31,16
"FMCG & Consumer",2016,-2.29,17
"FMCG & Consumer",2011,-6.72,18
"FMCG & Consumer",2008,-7.5,19
"FMCG & Consumer",2001,-12.56,20
"FMCG & Consumer",2021,-14.65,21
"FMCG & Consumer",2000,-19.06,22
"Information Technology",2009,119.84,1
"Information Technology",2013,59.1,2
"Information Technology",2006,50.16,3
"Information Technology",2020,48.33,4
"Information Technology",2003,36.38,5
"Information Technology",2000,33.74,6
"Information Technology",2021,23.98,7
"Information Technology",2005,23.49,8
"Information Technology",2012,20.45,9
"Information Technology",2010,11.29,10
"Information Technology",2014,11.08,11
"Information Technology",2018,4.67,12
"Information Technology",2002,3.62,13
"Information Technology",2017,3.48,14
"Information Technology",2004,1.64,15
"Information Technology",2019,-3.57,16
"Information Technology",2016,-4.92,17
"Information Technology",2001,-10.21,18
"Information Technology",2011,-10.96,19
"Information Technology",2007,-21.25,20
"Information Technology",2015,-33,21
"Information Technology",2008,-77.16,22
"Infra & Cement",2004,11217.31,1
"Infra & Cement",2003,119.95,2
"Infra & Cement",2009,83.86,3
"Infra & Cement",2006,67.23,4
"Infra & Cement",2007,66.71,5
"Infra & Cement",2021,47.88,6
"Infra & Cement",2005,41.06,7
"Infra & Cement",2001,40.09,8
"Infra & Cement",2014,39.3,9
"Infra & Cement",2012,36.29,10
"Infra & Cement",2002,18.86,11
"Infra & Cement",2017,14.6,12
"Infra & Cement",2010,9.27,13
"Infra & Cement",2020,8.24,14
"Infra & Cement",2015,4.69,15
"Infra & Cement",2016,4.67,16
"Infra & Cement",2019,-2.47,17
"Infra & Cement",2018,-5.84,18
"Infra & Cement",2011,-7.21,19
"Infra & Cement",2013,-12.58,20
"Infra & Cement",2000,-56.66,21
"Infra & Cement",2008,-79.52,22
Metals,2005,1367.63,1
Metals,2003,173.63,2
Metals,2021,165.48,3
Metals,2009,158.64,4
Metals,2007,110.55,5
Metals,2016,69.24,6
Metals,2002,54.45,7
Metals,2006,50.18,8
Metals,2004,39.11,9
Metals,2020,36,10
Metals,2017,35.82,11
Metals,2012,32.56,12
Metals,2010,18.92,13
Metals,2014,14.16,14
Metals,2013,13.12,15
Metals,2019,-7.65,16
Metals,2000,-9.39,17
Metals,2018,-16.69,18
Metals,2001,-26.11,19
Metals,2015,-40.31,20
Metals,2011,-67.73,21
Metals,2008,-136.57,22
"Oil & Gas",2003,90.64,1
"Oil & Gas",2007,66.56,2
"Oil & Gas",2009,45.26,3
"Oil & Gas",2002,44.36,4
"Oil & Gas",2014,35.89,5
"Oil & Gas",2021,28.95,6
"Oil & Gas",2005,24.55,7
"Oil & Gas",2001,17.86,8
"Oil & Gas",2010,12.38,9
"Oil & Gas",2004,10.76,10
"Oil & Gas",2017,8.68,11
"Oil & Gas",2015,8.66,12
"Oil & Gas",2012,5.64,13
"Oil & Gas",2013,2.34,14
"Oil & Gas",2016,0.6,15
"Oil & Gas",2006,0.38,16
"Oil & Gas",2020,-0.79,17
"Oil & Gas",2019,-5.65,18
"Oil & Gas",2018,-25.8,19
"Oil & Gas",2000,-30.52,20
"Oil & Gas",2011,-42.15,21
"Oil & Gas",2008,-51.83,22
Others,2004,1888.48,1
Others,2003,109.91,2
Others,2007,81.44,3
Others,2006,57.67,4
Others,2021,52.31,5
Others,2014,49.34,6
Others,2009,42.36,7
Others,2017,38.39,8
Others,2013,28.07,9
Others,2012,23.28,10
Others,2016,14.79,11
Others,2020,12.14,12
Others,2015,9.1,13
Others,2005,5.04,14
Others,2019,0.34,15
Others,2011,-13.42,16
Others,2010,-14.66,17
Others,2018,-14.81,18
Others,2002,-32.08,19
Others,2001,-46.38,20
Others,2008,-71.16,21
Others,2000,-103.64,22
Pharma,2009,71.39,1
Pharma,2020,55.32,2
Pharma,2014,40.07,3
Pharma,2003,39.81,4
Pharma,2012,28.9,5
Pharma,2005,26.69,6
Pharma,2021,24.51,7
Pharma,2013,10.44,8
Pharma,2006,10.34,9
Pharma,2001,9.15,10
Pharma,2010,7.86,11
Pharma,2015,4.88,12
Pharma,2019,3.97,13
Pharma,2007,2.29,14
Pharma,2011,-2.74,15
Pharma,2002,-4,16
Pharma,2017,-5.35,17
Pharma,2018,-7.35,18
Pharma,2016,-10.6,19
Pharma,2000,-14.18,20
Pharma,2008,-14.55,21
Pharma,2004,-27.23,22
